country,country_name,region,observed_prevalence_per_1k,vulnerability_total,govt_response_total,gdp_per_capita_log,population_log,urban_share,unemployment,gini,youth_dep_ratio,press_freedom_score,year,wgi_rule_of_law,wgi_government_effectiveness
AFG,Afghanistan,Asia and the Pacific,12.9599723815918,86.1662322798377,46.15384674072266,5.879124772192372,17.504400337024908,25.3478620272481,12.006,34.2,81.7057602287166,59.81,2021,-1.8742472390458924,-1.8400092555107408
ALB,Albania,Europe and Central Asia,11.81394481658936,39.50559814524699,61.53845977783203,8.887853599645704,14.727698083188026,57.5077187031778,11.474,29.4,25.7805107952401,69.41,2021,0.0762030907338277,0.0651228631544689
DZA,Algeria,Africa,1.922730684280396,43.05974622669564,35.89743423461914,8.333645106913224,17.61685001661988,73.6199218261573,13.656,34.2,49.0207030327762,52.74,2021,0.0069434177842755,-0.4393634792732156
AGO,Angola,Africa,4.136548519134521,61.07281247183403,43.58974456787109,7.7427960963404034,17.357409440478254,68.2524163556969,15.799,51.3,85.7930144236442,65.94,2021,-0.6105449732711109,-0.459284941655618
ARG,Argentina,Americas,4.178747653961182,35.51249048667636,57.69230651855469,9.281638922758807,17.629088679533112,92.0292776175651,8.736,40.7,35.8386839470968,71.01,2021,0.1835523836824151,0.1333754692798483
ARM,Armenia,Europe and Central Asia,8.938274383544922,48.14495723761485,53.84615325927734,8.452373024494369,14.901476889173537,65.3572875314441,15.469,27.9,29.767715315933,71.17,2021,-0.0235508075284545,-0.3769116682771792
AUS,Australia,Asia and the Pacific,1.609539031982422,6.81399870378826,66.66666412353516,11.014685383958545,17.061433801178023,87.2353407632761,5.022,33.8,28.4192188433023,80.21,2021,2.102297478301758,1.1725978708522506
AUT,Austria,Europe and Central Asia,1.855276346206665,8.004145492813043,61.53845977783203,10.890230108663484,16.007811701734497,68.773601700253,6.459,30.9,21.7005580404786,83.66,2021,1.8745838693226389,1.8410411225544665
AZE,Azerbaijan,Europe and Central Asia,10.56178951263428,56.89814924585747,58.97435760498047,8.595827896334379,16.131776736655397,58.3659969744818,6.04,34.2,33.2032371548007,41.23,2021,-0.3517689213980461,-0.4058672409412406
BHR,Bahrain,Arab States,6.736337385130479,40.31263365089431,55.12820434570313,10.209088434462558,14.223882104950684,100.0,1.548,34.2,24.9740542940789,38.9,2021,0.524674965523741,0.3132049450059194
BGD,Bangladesh,Asia and the Pacific,7.056299209594727,58.09061074311966,48.71794891357422,7.817564723993246,18.93744184785328,31.3992156886061,5.457,30.9,44.763273732564,50.29,2021,-0.8507820622726943,-0.8365502450013075
BLR,Belarus,Europe and Central Asia,11.34423828125,41.05485713028258,47.43589782714844,8.921420059506737,16.045802983986842,78.131086803694,3.9,24.4,25.5366396095857,49.18,2021,0.1684859528192272,0.6965801398016477
BEL,Belgium,Europe and Central Asia,0.9710318446159364,10.80593386164617,58.97435760498047,10.85242432196037,16.26532494746437,87.4305564090635,6.248,26.4,26.1218493839824,88.31,2021,0.5399351297577641,0.4710013260640948
BEN,Benin,Africa,3.042785406112671,48.04940072709778,39.74359130859375,7.185123026762662,16.411766107194964,50.1961807561354,1.833,34.4,77.7189255065446,61.82,2021,-1.1206570840167265,-0.9826055967184912
BOL,Bolivia,Americas,7.15239953994751,46.69743586023478,47.43589782714844,8.296985460576186,16.295183619724273,70.3450412826165,5.089,41.2,48.34344971779,64.53,2021,-0.7726117765961973,-1.141472459839197
BIH,Bosnia and Herzegovina,Europe and Central Asia,10.08794212341309,36.17146455125945,57.69230651855469,8.89512865054847,14.992597556408715,50.4899479477034,14.897,30.3,20.4767423464444,71.66,2021,-0.1588963766542211,0.3511949809180308
BWA,Botswana,Africa,1.842855215072632,44.94726294166183,42.30769348144531,8.963017844181403,14.691579948223428,66.5182767068255,23.106,34.2,51.2788923780216,76.75,2021,-0.0373557890043065,0.2416261849294124
BRA,Brazil,Americas,4.954716682434082,46.8682578663542,51.28205108642578,8.9838834576331,19.160474340112938,87.1360781715439,13.158,51.9,29.4041192944533,63.75,2021,0.0680694030956284,0.3813429228876193
BGR,Bulgaria,Europe and Central Asia,8.48421573638916,25.8851176750635,55.12820434570313,9.470174187891326,15.688435488956923,73.346765618041,5.166,38.2,22.6962456926934,62.71,2021,0.6911556202853452,0.6363418776203145
BFA,Burkina Faso,Africa,3.701391696929932,55.57506286686467,35.89743423461914,6.798537654727831,16.90633680613375,26.8114307743017,4.511,37.4,80.7296340232728,76.83,2021,-0.8799958971850292,-0.5169998708191477
BDI,Burundi,Africa,7.5060715675354,76.69894916041535,29.48717880249023,5.583422543916984,16.377801153278895,21.1108861865354,1.118,37.5,91.1800223073572,52.43,2021,-2.1777824391876672,-1.8487201447405772
KHM,Cambodia,Asia and the Pacific,4.982629299163818,57.6433208103472,42.30769348144531,7.681746342489746,16.647211346920844,40.1091858128847,0.396,34.2,48.3799875774695,53.16,2021,-0.1475886646153437,0.0511269252038925
CMR,Cameroon,Africa,5.846192359924316,70.47543238772427,41.02564239501953,7.42256888421392,17.108222509468124,54.5548664463635,3.976,42.2,77.0525896349656,56.22,2021,-1.137151472245517,-1.0690942125434524
CAN,Canada,Americas,1.82606041431427,10.71290950739265,60.25640869140625,10.875925351270787,17.459389115806516,82.1779279079275,7.527,31.5,23.9348837860225,84.75,2021,1.626591911667412,1.021766336088083
CAF,Central African Republic,Africa,5.247385025024414,97.66674312431344,26.92307662963867,6.2010427899213,15.447121032277822,42.8547782897949,6.701,43.0,100.468231824283,58.08,2021,-1.3434286259449286,-0.9004294590094808
TCD,Chad,Africa,5.881432056427002,83.53713091668155,24.35897445678711,6.853677585654758,16.696296182012823,25.2312246423075,1.53,37.4,94.8511163899727,59.8,2021,-1.22176099663677,-1.6800727879560051
CHL,Chile,Americas,3.173375844955444,22.08558806059161,55.12820434570313,9.693249895076637,16.78368328193861,88.4660511664452,9.281,43.2,26.2471024942684,72.11,2021,0.3813622877513376,0.2712450575987931
CHN,China,Asia and the Pacific,4.009806632995605,45.54358168885896,39.74359130859375,9.464085732812169,21.068527901736438,64.721076965332,4.55,36.0,25.402749711839,21.28,2021,0.1536576277678114,0.0769351184711319
COL,Colombia,Americas,7.808035373687744,51.39640023080491,46.15384674072266,8.736107274160858,17.751019086768043,77.8339570326128,13.898,54.8,30.4315723690048,56.26,2021,-0.1576185635640695,-0.4547147495030139
CRI,Costa Rica,Americas,3.193997383117676,23.81494490419098,51.28205108642578,9.46025192503488,15.436874867348243,77.9868940200009,15.139,47.2,29.4856663490438,91.24,2021,0.6078090921021784,0.7309651237929344
CIV,Côte d'Ivoire,Africa,7.312020301818848,58.62020435305695,37.17948532104492,7.8066887519839945,17.204626485208394,52.3183461956059,2.623,35.3,75.6222731959684,71.13,2021,-1.012742860428728,-0.9715674848087258
HRV,Croatia,Europe and Central Asia,5.243167400360107,29.538748428724,58.97435760498047,9.78637978405424,15.171083306040108,56.7683502560171,7.483,30.0,22.6388560254653,72.05,2021,0.6586568359377332,0.4617306546647753
CYP,Cyprus,Europe and Central Asia,8.044442176818848,21.32731000402713,57.69230651855469,10.402407782824497,14.091102336474309,66.6718365394971,7.513,31.5,22.7903338195133,80.15,2021,1.099102161410592,1.1451444645628253
CZE,Czechia,Europe and Central Asia,4.240109443664551,12.54070674503732,58.97435760498047,10.229096061723133,16.16743547356168,72.6810594374316,2.803,25.9,25.3477240765871,76.62,2021,1.2608378375471283,0.9917803416248916
COD,Democratic Republic of the Congo,Africa,4.547229290008545,93.9707444032815,35.89743423461914,6.391486659627619,18.412133651399657,43.6290681792218,5.289,44.7,90.6795981313049,51.41,2021,-1.488967073668303,-0.92337637384998
DNK,Denmark,Europe and Central Asia,0.6420400738716125,5.730842414973912,61.53845977783203,11.146802218814232,15.583102668298746,88.2616449318149,5.065,29.3,25.439535502029,91.43,2021,1.8130218576871031,1.737156194774587
DJI,Djibouti,Africa,7.135610103607178,57.22944943385414,35.89743423461914,8.015297993803625,13.929953800492983,72.2882954556515,27.628,34.2,46.9477947485842,21.38,2021,-0.728042421978187,-0.7975380758307001
DOM,Dominican Republic,Americas,6.632640838623047,40.7564368960251,46.15384674072266,9.051118997893246,16.224568477768667,72.9243347395035,7.702,37.0,41.8657538884391,74.4,2021,0.188635105072963,-0.4135078982299965
ECU,Ecuador,Americas,7.63454008102417,48.22622081398305,51.28205108642578,8.709848421719611,16.68808346300003,63.0871268249117,4.504,45.5,39.1491792777126,67.17,2021,0.3211391800706589,-0.1033006970067511
EGY,Egypt,Africa,4.315521240234375,58.9061160218451,43.58974456787109,8.25019026494524,18.524653377947843,42.5686062621468,7.441,28.5,53.477218427384,43.83,2021,0.2911853650777052,0.5881160640004437
SLV,El Salvador,Americas,8.082976341247559,52.47724165430058,44.87179565429688,8.443246806732525,15.64901687390492,73.6838531494141,4.327,38.8,39.2439122505965,69.51,2021,-0.6780440709930826,-0.6254208828271771
GNQ,Equatorial Guinea,Africa,7.812037944793701,68.87411981435966,21.79487228393555,8.846012029346833,14.380134924858247,70.6431215020592,8.821,38.5,64.517170502802,44.33,2021,0.7060559089138078,0.5505127983185666
EST,Estonia,Europe and Central Asia,4.113351345062256,15.34476157802643,56.41025543212891,10.23824996852445,14.101390758018583,70.1777274135822,6.178,32.3,25.9264280065878,84.75,2021,1.5890977007825595,1.9231634149771129
SWZ,Eswatini,Africa,3.604331970214844,59.38274135854581,35.89743423461914,8.290293166316511,14.003312072326013,25.0156180525173,34.153,34.2,55.4843953491179,53.66,2021,0.0337093894039032,-0.3544563227586566
ETH,Ethiopia,Africa,6.31956148147583,67.22511824075579,44.87179565429688,6.795716776733858,18.62066693337552,22.1067085266113,3.935,31.1,70.4849921111863,66.37,2021,-1.1931443610746022,-1.2495272649195497
FIN,Finland,Europe and Central Asia,1.412570953369141,5.416905107345813,60.25640869140625,10.879934752236487,15.52768879635531,73.3710215780329,7.617,27.9,25.0594641669866,93.01,2021,1.3631553431320538,1.0850635057913032
FRA,France,Europe and Central Asia,2.061271667480469,13.25262384676886,61.53845977783203,10.685700455708174,18.032703999060573,78.7364603392338,7.871,31.2,27.9482620831353,77.4,2021,1.9393596402018112,1.9213248606410205
GAB,Gabon,Africa,7.609169483184814,58.98436584009715,24.35897445678711,9.00974190229249,14.681233206106262,90.7881967286967,21.223,34.2,62.2183278828381,61.4,2021,0.9963422716756232,0.6976474850168468
GMB,Gambia,Africa,6.546003341674805,57.54879669703229,35.89743423461914,6.662993382544519,14.7617526363836,62.7550706637859,6.213,38.8,74.9243062130746,69.24,2021,-0.6688619814173665,-0.7860011378598383
GEO,Georgia,Europe and Central Asia,7.793662071228027,37.89671735119825,61.53845977783203,8.533973010479665,15.126167970949865,59.4293560618005,11.785,33.5,33.1674195721638,71.36,2021,0.4135481095541781,-0.1093515204667737
DEU,Germany,Europe and Central Asia,0.5649979114532471,10.65647740958336,61.53845977783203,10.865711915417387,18.23671077727706,81.6325870653934,3.594,33.7,21.6500899253927,84.76,2021,1.621968947017192,1.6785768735208295
GHA,Ghana,Africa,2.932558059692383,45.05815546676001,44.87179565429688,7.802285611494141,17.297324820892296,56.6952556826536,3.2,34.2,61.8544114062139,78.67,2021,-1.0952283690796958,-0.7438637246172196
GRC,Greece,Europe and Central Asia,6.368064880371094,20.89470876680199,61.53845977783203,9.93574659884871,16.173455425994632,78.3884898647442,14.656,33.4,22.2094780887736,70.99,2021,0.8424945655477123,0.6153320847725925
GTM,Guatemala,Americas,7.820735931396484,57.35570497341147,47.43589782714844,8.499766709295752,16.683332809343522,54.9047071553758,2.174,34.2,53.519938713402,61.55,2021,0.1267493339631003,0.1630763842291799
