iso3,country_name,region,population,prevalence_per_1k,estimated_number,vulnerability_total,govt_response_total
AFG,Afghanistan,Asia and the Pacific,38928000,12.9599723815918,505000.0,86.1662322798377,
ALB,Albania,Europe and Central Asia,2878000,11.81394481658936,34000.0,39.50559814524699,61.53845977783203
DZA,Algeria,Africa,43851000,1.922730684280396,84000.0,43.05974622669564,35.89743423461914
AGO,Angola,Africa,32866000,4.136548519134521,136000.0,61.07281247183403,43.58974456787109
ATG,Antigua and Barbuda,Americas,98000,,,,43.58974456787109
ARG,Argentina,Americas,45196000,4.178747653961182,189000.0,35.51249048667636,57.69230651855469
ARM,Armenia,Europe and Central Asia,2963000,8.938274383544922,26000.0,48.14495723761485,53.84615325927734
AUS,Australia,Asia and the Pacific,25500000,1.609539031982422,41000.0,6.81399870378826,66.66666412353516
AUT,Austria,Europe and Central Asia,9006000,1.855276346206665,17000.0,8.004145492813043,61.53845977783203
AZE,Azerbaijan,Europe and Central Asia,10139000,10.56178951263428,107000.0,56.89814924585747,58.97435760498047
BHS,Bahamas,Americas,393000,,,,52.56410217285156
BHR,Bahrain,Arab States,1702000,6.736337385130479,11000.0,40.31263365089431,55.12820434570313
BGD,Bangladesh,Asia and the Pacific,164689000,7.056299209594727,1162000.0,58.09061074311966,48.71794891357422
BRB,Barbados,Americas,287000,,,,41.02564239501953
BLR,Belarus,Europe and Central Asia,9449000,11.34423828125,107000.0,41.05485713028258,47.43589782714844
BEL,Belgium,Europe and Central Asia,11590000,0.9710318446159363,11000.0,10.80593386164617,58.97435760498047
BLZ,Belize,Americas,398000,,,,44.87179565429688
BEN,Benin,Africa,12123000,3.042785406112671,37000.0,48.04940072709778,39.74359130859375
BOL,Bolivia,Americas,11673000,7.15239953994751,83000.0,46.69743586023478,47.43589782714844
BIH,Bosnia and Herzegovina,Europe and Central Asia,3281000,10.08794212341309,33000.0,36.17146455125945,57.69230651855469
BWA,Botswana,Africa,2352000,1.842855215072632,4000.0,44.94726294166183,42.30769348144531
BRA,Brazil,Americas,212559000,4.954716682434082,1053000.0,46.8682578663542,51.28205108642578
BRN,Brunei Darussalam,Asia and the Pacific,437000,,,,34.61538314819336
