iso3,gdp_per_capita,population,urban_share,unemployment,youth_dep_ratio,gini,year
ABW,26749.3296093118,107700,61.9275339886843,,26.7292414768395,,2021
AFE,1562.41617477738,713090928,36.9085426088519,8.40741154700022,73.8284241565364,,2021
AFG,356.496214115892,40000412,25.3478620272481,12.006,81.7057602287166,,2021
AFW,2112.79407637079,485920997,51.0723969922682,4.66663403105227,77.9096731305705,,2021
AGO,2303.90812662776,34532429,68.2524163556969,15.799,85.7930144236442,51.3,2021
ALB,7242.45513146613,2489762,57.5077187031778,11.474,25.7805107952401,29.4,2021
AND,42425.7066454357,78364,88.6627318165299,,18.0213385063046,,2021
ARB,6697.41498492196,460646603,59.112484714184,10.8627489086684,53.9328725095142,,2021
ARE,44118.5047192771,9575152,85.3571908511355,3.105,20.1635276749887,26.4,2021
ARG,10738.0179223384,45312281,92.0292776175651,8.736,35.8386839470968,40.7,2021
ARM,4685.17997128509,2962300,65.3572875314441,15.469,29.767715315933,27.9,2021
ASM,15236.1604875571,49225,82.2127091544092,,44.7512767164744,,2021
ATG,17348.6006987182,92349,24.574983819566,,26.5862042624704,,2021
AUS,60758.9044397144,25685412,87.2353407632761,5.022,28.4192188433023,33.8,2021
AUT,53648.6437976214,8955797,68.773601700253,6.459,21.7005580404786,30.9,2021
AZE,5408.04535175023,10137750,58.3659969744818,6.04,33.2032371548007,,2021
BDI,264.980379269655,12965481,21.1108861865354,1.118,91.1800223073572,37.5,2021
BEL,51658.238294958,11586195,87.4305564090635,6.248,26.1218493839824,26.4,2021
BEN,1318.65158075198,13413417,50.1961807561354,1.833,77.7189255065446,34.4,2021
BFA,895.535288442991,21995243,26.8114307743017,4.511,80.7296340232728,37.4,2021
BGD,2482.84917843357,167658854,31.3992156886061,5.457,44.763273732564,30.9,2021
BGR,12966.1457543396,6507301,73.346765618041,5.166,22.6962456926934,38.2,2021
BHR,27147.8083882286,1504365,100.0,1.548,24.9740542940789,,2021
BHS,30367.8605757708,396373,81.4784235345083,11.078,27.4306811114165,,2021
BIH,7295.34378682258,3244907,50.4899479477034,14.897,20.4767423464444,30.3,2021
BLR,7489.71894713888,9302585,78.131086803694,3.9,25.5366396095857,24.4,2021
BLZ,6142.98930557031,395346,42.3910809205294,10.302,42.2092685667316,39.9,2021
BMU,112765.08167306,64648,100.0,,21.6434644492198,,2021
BOL,4010.76053686204,11937360,70.3450412826165,5.089,48.34344971779,41.2,2021
BRA,7972.53696080695,209550294,87.1360781715439,13.158,29.4041192944533,51.9,2021
BRB,21079.6145271791,282147,59.3220365433819,11.015,26.7817371937639,,2021
BRN,31006.9636289785,451721,74.7667316936175,4.905,29.3368596932797,,2021
BTN,3570.61257980872,775442,40.3075199874379,4.803,31.8389028849619,28.5,2021
BWA,7807.88794570471,2401441,66.5182767068255,23.106,51.2788923780216,,2021
CAF,492.263142830507,5112100,42.8547782897949,6.701,100.468231824283,43.0,2021
CAN,52886.6616372703,38239864,82.1779279079275,7.527,23.9348837860225,31.5,2021
CEB,19223.9274030651,100205732,61.5491099540844,4.44508031221282,23.8186969309847,,2021
CHE,93664.7736696111,8704546,84.2006477608879,5.013,22.8494140716122,33.8,2021
CHI,66915.3963925722,166741,32.8148141071941,6.643,22.3794877378263,,2021
CHL,16206.8325493421,19456334,88.4660511664452,9.281,26.2471024942684,43.2,2021
CHN,12887.4357242941,1412360000,64.721076965332,4.55,25.402749711839,36.0,2021
CIV,2455.98127641148,29639736,52.3183461956059,2.623,75.6222731959684,35.3,2021
CMR,1672.32657340872,26915758,54.5548664463635,3.976,77.0525896349656,42.2,2021
COD,595.743074403567,99148932,43.6290681792218,5.289,90.6795981313049,44.7,2021
COG,2516.16255145432,5892183,63.6179125824196,21.998,74.6398403667856,,2021
COL,6222.62164397614,51188173,77.8339570326128,13.898,30.4315723690048,54.8,2021
COM,1554.97289190153,818174,32.4124444313246,4.394,66.0476230935894,34.2,2021
CPV,3971.44409203423,516649,74.1607930892827,13.932,42.4945493438644,,2021
CRI,12838.1185358931,5059988,77.9868940200009,15.139,29.4856663490438,47.2,2021
CSS,13995.2694921728,4479167,50.1235419064094,9.71327125079923,33.2135962005454,,2021
CUB,,11122168,77.0987701416016,2.11,23.0195179162126,,2021
CUW,17795.5826616182,153948,91.391865832772,,23.1961735152048,,2021
CYM,86449.6749037302,70108,100.0,,21.5393290104314,,2021
CYP,32937.83984375,1317309,66.6718365394971,7.513,22.7903338195133,31.5,2021
CZE,27696.4619527544,10505772,72.6810594374316,2.803,25.3477240765871,25.9,2021
DEU,52349.2459994422,83196078,81.6325870653934,3.594,21.6500899253927,33.7,2021
DJI,3025.91126413549,1121248,72.2882954556515,27.628,46.9477947485842,,2021
DMA,8376.40414141113,67202,72.2613620044042,,26.8228044471257,,2021
DNK,69340.7334922138,5856733,88.2616449318149,5.065,25.439535502029,29.3,2021
DOM,8527.0754858205,11123476,72.9243347395035,7.702,41.8657538884391,37.0,2021
DZA,4160.55926736925,44761099,73.6199218261573,13.656,49.0207030327762,,2021
EAP,9974.57829690175,2128553744,60.3526131684329,4.13328662810016,29.2922704351565,,2021
EAR,3698.98363187847,3432026092,46.3752600779412,6.74359581980053,43.3999366409151,,2021
EAS,13336.4841670883,2375117716,63.2351929830371,4.06219092494547,28.3923395353437,,2021
ECA,6673.97429035651,251867727,68.150425455559,8.95407922243149,35.0408975870756,,2021
